review,label
"Seller sold a duplicate copy.",fake
"Received completely wrong product.",fake
"Fake item, they tricked customers.",fake
"Item is not genuine, total fraud.",fake
"Scam product with fake branding.",fake
"Product stopped working in one day.",fake
"Awful experience, fake product.",fake
"Fake serial number and no warranty.",fake
"Fraudulent item, not from brand.",fake
"Duplicate version pretending to be real.",fake
"Terrible quality, fake claim.",fake
"Don’t fall for fake positive reviews.",fake
"Product looks real but isn’t.",fake
"Seller shipped counterfeit goods.",fake
"Scam, totally fake website.",fake
"Fake parts used, not original.",fake
"Received fake product with missing parts.",fake
"Product doesn’t even switch on.",fake
"Completely fake advertisement.",fake
"Terrible seller, fake service.",fake
"Scam site, no customer care.",fake
"Got fake product without box.",fake
"Fake listing, avoid this brand.",fake
"Poor packaging and duplicate item.",fake
"Seller is fraud, product is fake.",fake
"Received fake version of branded item.",fake
"Fake accessories and fake reviews.",fake
"Looks like cheap copy of original.",fake
"Completely non-functional fake item.",fake
"Scammy marketing, fake product.",fake
"Got duplicate instead of original.",fake
"Fake product, no barcode or tag.",fake
"Product didn’t even arrive!",fake
"Counterfeit model, don’t buy.",fake
"Fake service, no refund issued.",fake
"Scam seller, wrong product sent.",fake
"Fake website, fake product!",fake
"Received broken item, fake build.",fake
"Low-quality duplicate item.",fake
"Seller is cheating people.",fake
"Product doesn’t match images.",fake
"Totally fake and useless.",fake
"Fraud seller, fake listings.",fake
"Fake claims, not real product.",fake
"Do not purchase, total scam.",fake
"Counterfeit quality, very poor.",fake
"Scam seller, fake guarantee.",fake
"Fake imitation, not original.",fake
"Completely fake item sent.",fake
"Fraudulent store, fake products.",fake
"Fake label and cheap material.",fake
"Looks like used fake item.",fake
"Received fake charger.",fake
"Poor imitation product.",fake
"Scam — totally fake!",fake
"Fake, not recommended at all.",fake
"Product is good and comfortable and also pain relief but made of rubber i think it's not for longest but it's very good product.Read more", fake
